RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @nbe59: @Andryulik Денацификация! Эта процедура необходима для многомиллионной ваты, поддерживающей нынешнюю фашистскую  Россию! Как в Г…
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
@jojohater87 @dweisa @koletsya Поплатились политически, экономически. Раскаяние, учение правдивой истории, "денацификация".  Свобода это ценность- поэтому преступникам и их пособникам не место на свободе.  Нужна деимпериализация, демилитаризация, репарации, принудительный показ военных преступлений на Украине.
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
@VRSoloviev Решили начать делить Украину? Сначала депидоризация  и  денацификация.
Денацификация Украины это политический лозунг. Инструменты не обозначены.
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
"Путин заявил, что планируется денацификация, то я, украинский филолог, а не русский, профессионал, работала и в СМИ, и сценаристом, то я поняла, что если я при такой цели останусь здесь, то денацификация – это будет как раз про меня. Я тут не выживу." https://t.co/ses3pr9w48
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
@VRSoloviev А денацификация что))? Передумали?
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
@rianru А как же денацификация?
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
RT @aleks_roza: "Россия, помоги Америке"  Сначала денацификация, а потом Америка) https://t.co/kkCRpRd35q
@skyween_ Да я такая. Как там денацификация в Украине идёт полным ходом. Осторожно чтобы вас не зацепило 💙💛
RT @glukhovsky: В денацификации на самом деле в первую очередь нуждается сегодня путинская Россия. И это настоящая денацификация, пройденна…
