@MirAckerman @laugh_in_pain @oleh_kurza Якщо їх підорне США з обов'язковим залученням Канади, ЄС, Тайваню, Японії і т.д., то це буде сильніше, ніж будь-що від росії. Якщо ви не в курсі, то їх позиція вже змінилася у порівнянні з 24 лютого (Ван І назвав "спецоперацію" війною, наприклад), ще й гуманітарку відправлять.
@USEmbassyKyiv Ми засуджуємо, но ппо не дамо, позиція страуса! Чому останні десятиліття США не везе з президентами?!
@XBK @taranenko В тому-то і справа, що не кажуть. У мене немає ніяких сумнівів. Тому важливо зраз спробувати достукатися до офісу в США, щоб він натиснув на центральний офіс в Китаї (якщо це, звісно, можливо). Потрібна позиція компанії по цьому питанню, бо багато дронів використовується ЗСУ.
Сьогодні Макрон сказав, що не бачить Україну в ЄС, Німеччина постійно блокує нам якусь допомогу, США говорять, що не так на ті польські винищувачі і треба. Хз, що вони там роблять "в тиху", але по факту — це позиція обісцяних нікчем.
@Robin1Tod @Carpe_Snarkum @EmmanuelMacron Це така боягузлива позиція що аж нудно! В 1943 році США теж не треба було втручатись? І хай би Гітлер знущався над Францією! Як зараз путлер це робить в Україні!
@IsraelThreads У Франції своя геополітика де Україна буфер між Московією. Незалежно від президента, риторика і позиція незмінні. Те саме з ФРН. В сильній Україні зацікавлені,власне ВБ та США
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
RT @Helg40498291: В соцмережах почалася улюблена гра українців Зрада-Перемога.  Ми формально не члени НАТО, але зараз щільно інтегровані в…
