RT @superyurch: Біженці - це біда і їхня і біль всіх нас. Люди допомагають чим можуть. Але.. Коли молоді піздюки і піздюшки розсікають по м…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @Valentyna0612: Нашій біженці з Бучі подзвонили сусіди і сказали, що орки вскрили абсолютно всі квартири. Брали все,що бажали. Навіть в…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @HromadskeUA: Перші біженці з Маріуполя вже прибули до Запоріжжя. Їх зустріли фахівці хабу, волонтери, представники соцслужб та психолог…
RT @superyurch: Біженці - це біда і їхня і біль всіх нас. Люди допомагають чим можуть. Але.. Коли молоді піздюки і піздюшки розсікають по м…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @HromadskeUA: Перші біженці з Маріуполя вже прибули до Запоріжжя. Їх зустріли фахівці хабу, волонтери, представники соцслужб та психолог…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @hivaalex74: Ці хлопці - Аві Шиффман та Марко Бурштейн - студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co/9Ut…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
Також маю досвід роботи з дітьми і людьми похилого віку,українські книжки... Наші біженці потребують будь-якої допомоги,бо більшість мови не знають,налякані,маски не носять,на вулиці бігають з боку в бік,не можуть зорієнтуватися..Мені це знайомо,через це років 20 тому тут пройшла
RT @superyurch: Біженці - це біда і їхня і біль всіх нас. Люди допомагають чим можуть. Але.. Коли молоді піздюки і піздюшки розсікають по м…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
RT @paramedik33: Ці двоє юнаків, Аві Шиффман та Марко Бурштейн, студенти Гарварду, лише за три дні розробили та запустили сайт https://t.co…
